magnitude,cdi,mmi,sig,nst,dmin,gap,depth,dt,tsunami,Latitude,Longitude
6.6,3,3,677,0,2.022,16,614,2016-10,0,-4.8626,108.163
6.8,3,6,716,0,3.727,11,42,2016-10,1,-6.0033,148.887
6.9,2,3,733,0,4.051,9,596.4,2016-9,1,-19.7819,-178.244
7,5,6,897,0,0.698,21,19,2016-9,1,-37.3586,179.146
6.8,4,3,713,0,0.803,12,476,2016-8,1,-3.6849,152.792
6.8,6,6,981,0,1.802,17,82,2016-8,0,20.9228,94.569
7.2,6,5,799,0,4.823,14,16.37,2016-8,1,-22.4765,173.117
7.7,5,6,971,0,3.294,14,196,2016-7,1,18.5429,145.507
6.6,4,6,671,0,2.435,16,50,2016-6,0,-2.0967,100.665
7.2,1,6,798,0,5.803,24,78,2016-5,1,-56.2409,-26.9353
6.9,3,3,733,0,5.485,19,405.69,2016-5,1,-21.9724,-178.204
6.9,8,7,780,0,1.192,17,29.95,2016-5,1,0.4947,-79.616
6.7,5,7,744,0,1.352,21,16,2016-5,1,0.4261,-79.7899
7,7,7,755,0,0.616,14,24,2016-4,1,-16.0429,167.379
7.8,9,9,1163,0,1.44,15,20.59,2016-4,1,0.3819,-79.9218
7,9,9,2074,0,0.349,32,10,2016-4,1,32.7906,130.754
6.9,6,6,903,0,3.001,14,136,2016-4,0,23.0944,94.8654
6.6,6,4,738,0,0.789,17,212,2016-4,0,36.4725,71.1311
6.7,7,5,692,0,6.787,25,27.59,2016-4,1,-13.9805,166.594
6.7,7,6,691,0,6.697,19,24,2016-4,1,-14.0683,166.624
6.9,7,6,734,0,1.166,25,26,2016-4,1,-14.3235,166.855
7.8,4,3,948,0,7.009,20,24,2016-3,0,-4.9521,94.3299
7.2,3,7,799,0,0.958,17,177,2016-1,1,53.9776,158.546
7.1,7,7,1496,0,0,0,125.6,2016-1,1,59.6204,-153.339
6.6,3,4,673,0,2.413,74,10,2016-1,1,18.8239,-106.934
6.7,5,6,717,0,0.281,22,46,2016-1,1,41.9723,142.781
6.5,3,6,651,0,3.144,22,13,2016-1,1,3.8965,126.862
6.7,8,7,1515,0,1.794,16,55,2016-1,0,24.8036,93.6505
6.6,8,6,765,0,0.41,35,85,2015-12,1,15.8015,-93.633
6.9,8,5,738,0,2.979,14,21,2015-12,0,-4.1064,129.508
7.2,4,7,827,0,1.116,18,22,2015-12,0,38.2107,72.7797
6.7,2,3,691,0,2.033,19,602.75,2015-11,0,-9.1825,-71.2574
7.6,5,4,896,0,2.852,10,620.56,2015-11,0,-10.0598,-71.0184
7.6,6,5,957,0,3.287,10,606.21,2015-11,1,-10.5372,-70.9437
6.8,5,6,715,0,1.599,19,12.59,2015-11,1,-8.8994,158.422
6.5,7,7,1018,0,0,0,11,2015-11,0,38.67,20.6
6.7,5,4,702,0,1.444,17,12,2015-11,0,31.0009,128.873
6.9,5,6,744,0,0.821,43,10,2015-11,0,-29.5097,-72.0585
6.9,6,6,761,0,0.784,32,12,2015-11,1,-29.5067,-72.0068
